account_manager,bl_number,job_order_date,customer_name,consignee_name,shipment_type,scope_of_work,service_type,cargo_type,carrier,vessel_code,container_count,commodity,shipment_date,terminal,shipment_location,overseas_port,gcss_updatedate,kewill_jobno,kewill_invoiceno,cro_date
NULL,210389000,2021-06-09,"GULF ALUMINIUM ROLLING MILL","GULF ALUMINIUM ROLLING MILL",EXPORT,CCO,SD,DRY,MSL,"X-PRESS KANGCHENJUNGA / 0070",1,ALUMINIUM,2021-05-12,BAHRAIN,BAHRAIN,"UNITED STATES",0000-00-00,,,2021-05-01
NULL,210389016,2021-06-09,"GULF ALUMINIUM ROLLING MILL","GULF ALUMINIUM ROLLING MILL",EXPORT,CCO,SD,DRY,MSL,"X-PRESS KANGCHENJUNGA / 0070",2,ALUMINIUM,2021-05-12,BAHRAIN,BAHRAIN,"UNITED STATES",0000-00-00,,,2021-05-02
NULL,210390927,2021-06-14,,"SIG COMBIBLOC OBEIKAN CO LTD",EXPORT,IH+CCO,SD,DRY,MSL,,5,"Paper, Paper Board and Packing materials",2021-05-08,"KING ABDULLAH ECONOMIC CITY PORT",RIAYDH,MOROCCO,2021-05-08,,,2021-04-25
NULL,210395685,2021-06-10,"TETRA PAK MANUFACTURING LTD","TETRA PAK MANUFACTURING LTD",EXPORT,IH+CCO,SD,DRY,MSL,"CAP SAN TAINARO/116W",2,PAPER,2021-05-08,SAJED,JEDDAH,USHOU,2021-05-04,,,0000-00-00
NULL,210401609,2021-06-09,"BINZAGR CO-RO (LTD)","BINZAGR CO-RO (LTD)",EXPORT,IH+CCO,SD,DRY,MSL,"CAP SAN SOUNIO/118E",20,JUCIE,2021-05-10,SAJED,JEDDAH,OMSLV,2021-05-10,,,0000-00-00
NULL,210402886,2021-06-14,,"SIG COMBIBLOC OBEIKAN CO LTD",EXPORT,IH+CCO,SD,DRY,MSL,,5,,2021-05-29,"KING ABDULLAH ECONOMIC CITY PORT",RIAYDH,Algeria,2021-05-29,,,2021-04-26
NULL,210404058,2021-06-14,,"SIG COMBIBLOC OBEIKAN CO LTD",EXPORT,IH+CCO,SD,DRY,MSL,,5,,2021-05-29,"KING ABDULLAH ECONOMIC CITY PORT",RIAYDH,Algeria,2021-05-29,,,2021-04-26
NULL,210404265,2021-06-13,,"SIG COMBIBLOC OBEIKAN CO LTD",EXPORT,IH+CCO,SD,DRY,MSL,,4,,2021-05-29,"KING ABDULLAH ECONOMIC CITY PORT",RIAYDH,Algeria,2021-05-23,,,2021-04-26
NULL,210411839,2021-06-24,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,"Hapag Lloy",,6,TIMBER,2021-06-20,JEDDAH,JEDDAH,SWEDEN,0000-00-00,,,0000-00-00
NULL,210411939,2021-06-24,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,"Hapag Lloy",,4,TIMBER,2021-06-20,SAJED,JEDDAH,SWEDEN,0000-00-00,,,0000-00-00
